,name,homepage,category,description,resource,labels,projectrank,show,github_id,npm_id,github_url,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,dependent_project_count,github_dependent_project_count,contributor_count,npm_url,npm_monthly_downloads,monthly_downloads,projectrank_placing,github_release_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,pypi_id,pypi_url,pypi_monthly_downloads,helm_id,trending,maven_id,maven_url,brew_id,gem_url,updated_github_id,apt_id
51,jansen,https://github.com/JanssenProject/jans,idp,An open source enterprise digital identity platform for CIAM or workforce... Janssen is a distribution of standards-..,,['linux-foundation'],27,True,janssenproject/jans,,https://github.com/JanssenProject/jans,Apache-2.0,2020-11-03 15:00:37,2024-03-14 16:03:29.000000,2024-03-14 13:23:25,33780.0,360.0,58.0,31.0,4657.0,344.0,2943.0,375.0,2024-03-14 13:25:07,1.1.0,100.0,,,112.0,,,435.0,3.0,2176.0,,,,,,,,,,,,,,,,
52,did-resolver,https://github.com/decentralized-identity/did-resolver,dids,Universal did-resolver for javascript environments.,,['dif'],27,True,decentralized-identity/did-resolver,did-resolver,https://github.com/decentralized-identity/did-resolver,Apache-2.0,2018-02-20 16:33:55,2024-03-11 20:10:37.000000,2024-03-04 00:18:13,392.0,9.0,41.0,23.0,128.0,3.0,18.0,202.0,2023-03-08 14:05:37,4.1.0,24.0,5721.0,5721.0,24.0,https://www.npmjs.com/package/did-resolver,216911.0,216911.0,2.0,,,,,,,,,,,,,,,,,
53,did-jwt-vc,https://github.com/decentralized-identity/did-jwt-vc,credentials-sdks,Create and verify W3C Verifiable Credentials and Presentations in JWT format.,,['dif'],27,True,decentralized-identity/did-jwt-vc,did-jwt-vc,https://github.com/decentralized-identity/did-jwt-vc,Apache-2.0,2019-07-22 20:20:06,2024-03-14 16:24:19.000000,2024-03-14 16:22:57,363.0,6.0,40.0,23.0,97.0,2.0,48.0,167.0,2024-03-14 16:23:14,4.0.2,56.0,897.0,897.0,22.0,https://www.npmjs.com/package/did-jwt-vc,23328.0,23328.0,1.0,,,,,,,,,,,,,,,,,
54,whisper,https://github.com/openai/whisper,voice,Robust Speech Recognition via Large-Scale Weak Supervision.,,,26,True,openai/whisper,,https://github.com/openai/whisper,MIT,2022-09-16 20:02:54,2024-03-08 04:08:05.000000,2023-12-18 20:11:16,136.0,1.0,6431.0,492.0,213.0,,,57747.0,2023-11-17 19:59:53,20231117,10.0,21.0,21.0,66.0,,,309772.0,3.0,,,,,,,openai-whisper,https://pypi.org/project/openai-whisper,309772.0,,-2.0,,,,,,
55,opal,https://github.com/permitio/opal,authorization,"Policy and data administration, distribution, and real-time updates on top of Policy Agents (OPA, Cedar, ...).",,,25,True,permitio/opal,,https://github.com/permitio/opal,Apache-2.0,2021-02-14 11:37:31,2024-03-14 17:10:41.000000,2024-03-14 13:36:17,1759.0,77.0,130.0,21.0,373.0,38.0,81.0,2245.0,2024-03-13 17:49:20,0.7.5,33.0,1.0,1.0,51.0,,,4318.0,3.0,594.0,permitio/opal-server,https://hub.docker.com/r/permitio/opal-server,2024-03-14 13:47:41.244848,1.0,159179.0,,,,,,,,,,,
56,lemur,https://github.com/Netflix/lemur,pki,Repository for the Lemur Certificate Manager.,,,25,True,netflix/lemur,,https://github.com/Netflix/lemur,Apache-2.0,2015-06-16 16:36:07,2024-03-11 18:28:02.000000,2024-03-11 18:27:55,6085.0,72.0,312.0,414.0,4188.0,118.0,417.0,1684.0,2024-01-17 19:18:46,1.7.0,28.0,,,150.0,,,0.0,3.0,51.0,,,,,,,,,,,,,,,,
57,athenz,https://github.com/AthenZ/athenz,pki,Open source platform for X.509 certificate based service authentication and fine grained access control in dynamic..,,['linux-foundation'],25,True,athenz/athenz,,https://github.com/AthenZ/athenz,Apache-2.0,2016-11-16 18:23:08,2024-03-14 17:45:46.000000,2024-03-14 17:45:46,3018.0,95.0,263.0,52.0,2285.0,32.0,217.0,850.0,2024-03-04 21:43:53,1.11.53,100.0,30.0,30.0,83.0,,,,3.0,,,,,,,,,,,,,,,,,
58,veramo,https://github.com/decentralized-identity/veramo,ssi-sdks,A JavaScript Framework for Verifiable Data.,,,25,True,decentralized-identity/veramo,,https://github.com/decentralized-identity/veramo,Apache-2.0,2019-11-12 14:18:17,2024-03-14 16:51:36.000000,2024-03-07 17:11:13,1855.0,29.0,117.0,23.0,771.0,62.0,370.0,391.0,2024-01-16 17:06:31,5.6.0,43.0,594.0,594.0,55.0,,,,1.0,,,,,,,,,,,,,,,,,
59,aries-python,https://github.com/hyperledger/aries-cloudagent-python,ssi-sdks,Hyperledger Aries Cloud Agent Python (ACA-Py) is a foundation for building decentralized identity applications and..,,['hyperledger'],25,True,hyperledger/aries-cloudagent-python,,https://github.com/hyperledger/aries-cloudagent-python,Apache-2.0,2019-06-24 18:12:14,2024-03-14 17:24:34.000000,2024-03-12 16:06:42,8924.0,424.0,442.0,30.0,1668.0,214.0,954.0,382.0,2023-11-25 05:08:09,0.11.0,75.0,,,135.0,,,,1.0,,,,,,,,,,,,,,,,,
60,universal-resolver,https://github.com/decentralized-identity/universal-resolver,dids,Universal Resolver implementation and drivers.,,,24,True,decentralized-identity/universal-resolver,,https://github.com/decentralized-identity/universal-resolver,Apache-2.0,2017-08-01 18:25:42,2024-03-14 12:32:49.000000,2024-03-13 17:11:10,1724.0,47.0,221.0,60.0,298.0,28.0,83.0,513.0,2022-01-07 16:42:38,0.5.0,6.0,,,106.0,,,1536.0,3.0,,universalresolver/uni-resolver-web,https://hub.docker.com/r/universalresolver/uni-resolver-web,2024-03-13 17:12:39.510600,,121346.0,,,,,,,,,,,
61,iota-identity,https://github.com/iotaledger/identity.rs,ssi-sdks,Implementation of the Decentralized Identity standards such as DID and Verifiable Credentials by W3C for the IOTA..,,,24,True,iotaledger/identity.rs,,https://github.com/iotaledger/identity.rs,Apache-2.0,2020-02-06 14:33:11,2024-03-14 15:11:06.000000,2024-03-12 13:45:04,1447.0,27.0,75.0,24.0,1018.0,60.0,233.0,280.0,2024-02-19 15:08:47,1.0.1,27.0,111.0,111.0,36.0,,,,2.0,,,,,,,,,,,,,,,,,
62,hyperledger-anoncreds-rs,https://github.com/hyperledger/anoncreds-rs,credentials-sdks,anoncreds-rs.,,['hyperledger'],24,False,hyperledger/anoncreds-rs,,https://github.com/hyperledger/anoncreds-rs,Apache-2.0,2022-10-20 16:09:54,2024-02-24 15:23:34.000000,2024-02-24 15:23:34,787.0,83.0,38.0,16.0,221.0,24.0,83.0,68.0,2024-02-13 10:21:42,0.2.0,30.0,74.0,74.0,22.0,,,5536.0,3.0,77514.0,,,,,,,,,,,,,,,,
63,permify,https://github.com/Permify/permify,authorization,Permify is an open-source authorization service inspired by Google Zanzibar.,,,23,True,permify/permify,,https://github.com/Permify/permify,Apache-2.0,2022-07-14 11:16:57,2024-03-14 10:57:11.000000,2024-03-14 10:57:11,2633.0,331.0,114.0,18.0,954.0,28.0,136.0,2379.0,2024-02-27 09:41:07,0.7.7,61.0,1.0,1.0,42.0,,,85.0,3.0,1627.0,ghcr.io/permify/permify,https://hub.docker.com/r/ghcr.io/permify/permify,,,,,,,,,,,,,,
64,freeipa,https://github.com/freeipa/freeipa,idp,"Mirror of FreeIPA, an integrated security information management solution.",,,23,True,freeipa/freeipa,,https://github.com/freeipa/freeipa,GPL-3.0,2012-05-15 20:34:40,2024-03-14 16:29:32.000000,2024-03-14 12:59:48,15848.0,119.0,310.0,52.0,7272.0,,,1070.0,,,,,,223.0,,,40127.0,3.0,,freeipa/freeipa-server,https://hub.docker.com/r/freeipa/freeipa-server,2024-03-14 14:53:59.322704,162.0,5698140.0,,,,,,,,,,,
65,keystone,https://github.com/openstack/keystone,idp,OpenStack Identity (Keystone). Mirror of code maintained at opendev.org.,,['openstack'],23,True,openstack/keystone,,https://github.com/openstack/keystone,Apache-2.0,2013-05-30 14:48:39,2024-03-14 16:46:54.000000,2024-03-14 16:45:15,14945.0,51.0,654.0,113.0,18.0,,,676.0,,,,125.0,125.0,732.0,,,,3.0,,,,,,,,,,,,,,,,,
66,dwn-sdk-js,https://github.com/TBD54566975/dwn-sdk-js,ssi-agents,Decentralized Web Node (DWN) Reference implementation.,,['web5'],23,True,TBD54566975/dwn-sdk-js,tbd54566975/dwn-sdk-js,https://github.com/TBD54566975/dwn-sdk-js,Apache-2.0,2022-03-11 17:33:48,2024-03-14 17:18:01.000000,2024-03-13 16:06:27,462.0,39.0,93.0,18.0,448.0,67.0,187.0,320.0,2024-02-21 20:48:22,0.2.18,36.0,365.0,365.0,41.0,https://www.npmjs.com/package/tbd54566975/dwn-sdk-js,,,2.0,,,,,,,,,,,,,,,,,
67,aries-framework-javascript,https://github.com/openwallet-foundation/credo-ts,ssi-sdks,Typescript framework for building decentralized identity and verifiable credential solutions.,,['hyperledger'],23,True,hyperledger/aries-framework-javascript,,https://github.com/openwallet-foundation/credo-ts,Apache-2.0,2019-11-20 17:23:33,2024-03-13 21:45:20.000000,2024-03-13 21:43:51,928.0,80.0,163.0,28.0,1098.0,123.0,537.0,228.0,2024-03-13 21:44:32,0.5.0,78.0,3.0,3.0,60.0,,,,2.0,,,,,,,,,,,,,,,,openwallet-foundation/credo-ts,
68,deepfacelive,https://github.com/iperov/DeepFaceLive,face,Real-time face swap for PC streaming or video calls.,,,22,True,iperov/DeepFaceLive,,https://github.com/iperov/DeepFaceLive,GPL-3.0,2020-12-15 12:19:22,2023-07-28 10:14:16.000000,2023-07-28 10:14:10,326.0,,3283.0,300.0,25.0,1.0,143.0,21041.0,2023-01-21 09:26:53,TINA_SHIFT,35.0,,,11.0,,,24379.0,3.0,804528.0,,,,,,,,,,,,,,,,
69,supertokens,https://github.com/supertokens/supertokens-core,idp,Open source alternative to Auth0 / Firebase Auth / AWS Cognito.,,,22,True,supertokens/supertokens-core,,https://github.com/supertokens/supertokens-core,https://github.com/supertokens/supertokens-core/blob/4a134fff6e96c46546fd11d66592d75c9fcef614/ee/LICENSE.md,2020-01-05 13:30:52,2024-03-14 11:32:18.000000,2024-03-14 11:31:55,968.0,39.0,440.0,60.0,470.0,112.0,356.0,11696.0,2024-03-12 07:49:55,8.0.1,63.0,,,26.0,,,,3.0,,registry.supertokens.io/supertokens/supertokens-postgresql,https://hub.docker.com/r/registry.supertokens.io/supertokens/supertokens-postgresql,,,,,,,,,,,,,,
70,howdy,https://github.com/boltgolt/howdy,authentication,Windows Hello style facial authentication for Linux.,,,22,True,boltgolt/howdy,,https://github.com/boltgolt/howdy,MIT,2018-01-05 00:54:21,2024-02-08 03:31:07.000000,2024-01-17 13:25:40,562.0,4.0,284.0,61.0,147.0,193.0,553.0,5298.0,2020-09-02 15:57:23,2.6.1,11.0,,,61.0,,,216.0,3.0,15821.0,,,,,,,,,,,,,,,,howdy
71,openbr,https://github.com/biometrics/openbr,face,"Open Source Biometrics, Face Recognition.",,,22,False,biometrics/openbr,,https://github.com/biometrics/openbr,,2012-12-20 02:52:37,2024-03-13 19:09:23.000000,2024-03-12 15:04:55,4038.0,3.0,758.0,255.0,332.0,62.0,210.0,2830.0,2015-09-29 22:50:55,1.1.0,4.0,,,58.0,,,886.0,3.0,109902.0,,,,,,,,,,,,,,,,
72,conjur,https://github.com/cyberark/conjur,machine,CyberArk Conjur automatically secures secrets used by privileged users and machine identities.,,,22,True,cyberark/conjur,,https://github.com/cyberark/conjur,LGPL,2016-06-28 21:18:07,2023-11-20 08:18:32.000000,2023-10-13 18:18:58,3449.0,,123.0,48.0,1887.0,207.0,901.0,744.0,2023-08-04 21:07:07,1.20.0,73.0,,,96.0,,,75862.0,3.0,393.0,cyberark/conjur,https://hub.docker.com/r/cyberark/conjur,2023-10-27 18:55:35.655413,30.0,7054787.0,,,,,-4.0,,,,,,
73,web-did-resolver,https://github.com/decentralized-identity/web-did-resolver,dids,DID resolver for HTTPS domains.,,['dif'],22,False,decentralized-identity/web-did-resolver,web-did-resolver,https://github.com/decentralized-identity/web-did-resolver,Apache-2.0,2018-09-20 21:44:09,2024-03-11 19:00:59.000000,2024-03-11 00:03:00,292.0,13.0,15.0,14.0,117.0,1.0,10.0,82.0,2023-07-03 18:25:08,2.0.27,38.0,907.0,907.0,12.0,https://www.npmjs.com/package/web-did-resolver,28504.0,28504.0,3.0,,,,,,,,,,,,,,,,,
74,appauth-ios,https://github.com/openid/AppAuth-iOS,authentication,iOS and macOS SDK for communicating with OAuth 2.0 and OpenID Connect providers.,,['openid'],21,True,openid/appauth-ios,,https://github.com/openid/AppAuth-iOS,Apache-2.0,2016-02-11 14:38:23,2024-03-13 23:07:34.000000,2024-03-13 23:06:30,403.0,9.0,675.0,96.0,322.0,160.0,330.0,1658.0,2024-03-13 23:07:34,1.7.3,29.0,,,50.0,,,,3.0,,,,,,,,,,,,,,,,,
75,webauthn,https://github.com/w3c/webauthn,protocols,Web Authentication: An API for accessing Public Key Credentials.,,['w3c'],21,True,w3c/webauthn,,https://github.com/w3c/webauthn,W3C,2016-02-08 14:51:38,2024-03-14 17:25:07.000000,2024-03-14 17:18:26,2278.0,53.0,152.0,178.0,858.0,74.0,1051.0,1076.0,2018-03-20 13:11:25,CR-00-20180320,7.0,,,75.0,,,,1.0,,,,,,,,,,,,,,,,,
76,indy-node,https://github.com/hyperledger/indy-node,ssi-infra,The server portion of a distributed ledger purpose-built for decentralized identity.,,['hyperledger'],21,True,hyperledger/indy-node,,https://github.com/hyperledger/indy-node,Apache-2.0,2016-12-21 05:45:04,2024-03-14 17:02:53.000000,2024-03-14 17:02:52,4919.0,27.0,636.0,64.0,1759.0,37.0,53.0,665.0,2024-02-09 14:17:29,1.13.2,37.0,,,102.0,,,10.0,1.0,590.0,,,,,,,,,,,,,,,,
77,solid-client-authn-js,https://github.com/inrupt/solid-client-authn-js,authentication,A client library for authenticating with Solid.,,['solid'],21,False,inrupt/solid-client-authn-js,inrupt/solid-client-authn-node,https://github.com/inrupt/solid-client-authn-js,,2019-11-21 00:49:46,2024-03-14 15:28:00.000000,2024-03-14 12:09:13,2527.0,90.0,32.0,16.0,3256.0,50.0,96.0,65.0,2024-03-14 10:54:35,2.1.0,23.0,806.0,806.0,21.0,https://www.npmjs.com/package/inrupt/solid-client-authn-node,,,3.0,,,,,,,,,,,,,,,,,
78,facenet,https://github.com/davidsandberg/facenet,face,Face recognition using Tensorflow.,,,20,False,davidsandberg/facenet,,https://github.com/davidsandberg/facenet,MIT,2016-02-12 22:14:40,2023-07-24 12:43:21.000000,2018-04-16 17:32:11,566.0,,4669.0,568.0,122.0,501.0,620.0,13438.0,,,,,,36.0,,,,3.0,,,,,,,,,,,,,,,,,
79,gotrue,https://github.com/netlify/gotrue,idp,An SWT based API for managing users and issuing SWT tokens.,,,20,True,netlify/gotrue,,https://github.com/netlify/gotrue,MIT,2016-05-16 23:14:24,2023-12-18 22:01:36.000000,2023-08-31 21:53:17,639.0,,270.0,65.0,222.0,6.0,126.0,3679.0,2022-02-09 12:50:28,1.0.1,2.0,10.0,10.0,39.0,,,,3.0,,,,,,,,,,,,,,,,,
80,sidetree,https://github.com/decentralized-identity/sidetree,protocols,Sidetree Specification and Reference Implementation.,,['dif'],20,True,decentralized-identity/sidetree,,https://github.com/decentralized-identity/sidetree,Apache-2.0,2018-09-04 17:20:14,2023-12-18 20:07:43.000000,2023-04-04 19:14:54,1149.0,,103.0,40.0,682.0,37.0,441.0,433.0,2021-03-09 22:06:35,1.0.2,12.0,34.0,34.0,47.0,,,,1.0,,,,,,,,,,,,,,,,,
81,aries-rfcs,https://github.com/hyperledger/aries-rfcs,protocols,"Hyperledger Aries is infrastructure for blockchain-rooted, peer-to-peer interactions.",,['hyperledger'],20,True,hyperledger/aries-rfcs,,https://github.com/hyperledger/aries-rfcs,Apache-2.0,2019-05-08 16:49:20,2024-03-13 21:18:41.000000,2024-03-13 15:11:17,2255.0,63.0,208.0,55.0,590.0,53.0,175.0,316.0,,,,,,85.0,,,,1.0,,,,,,,,,,,,,,,,,
82,aries-framework-go,https://github.com/hyperledger/aries-framework-go,ssi-sdks,Hyperledger Aries Framework Go provides packages for building Agent / DIDComm services.,,['hyperledger'],20,True,hyperledger/aries-framework-go,,https://github.com/hyperledger/aries-framework-go,Apache-2.0,2019-07-09 20:45:08,2023-10-27 19:12:10.000000,2023-09-01 12:06:39,3196.0,,157.0,20.0,2046.0,388.0,1196.0,239.0,2023-05-09 10:57:15,0.3.2,14.0,3.0,3.0,61.0,,,,2.0,,,,,,,,,,,,,,,,,
83,trinsic-sdk,https://github.com/trinsic-id/sdk,ssi-sdks,Trinsic SDK repository.,,,20,False,trinsic-id/sdk,,https://github.com/trinsic-id/sdk,Apache-2.0,2021-04-26 20:47:34,2024-03-13 21:55:39.000000,2024-03-11 19:03:56,1111.0,17.0,16.0,12.0,1276.0,,321.0,28.0,2023-11-16 22:24:18,1.13.0,16.0,,,27.0,,,360.0,2.0,10445.0,,,,,,,,,,,,,,,,
84,appauth-android,https://github.com/openid/AppAuth-Android,authentication,Android client SDK for communicating with OAuth 2.0 and OpenID Connect providers.,,['openid'],19,True,openid/appauth-android,,https://github.com/openid/AppAuth-Android,Apache-2.0,2016-02-19 15:09:43,2024-02-14 16:36:16.000000,2023-07-12 07:05:13,339.0,,811.0,239.0,242.0,184.0,528.0,2694.0,,,,,,47.0,,,,3.0,,,,,,,,,,,,net.openid:appauth,https://search.maven.org/artifact/net.openid/appauth,,,,
85,ja3,https://github.com/salesforce/ja3,pki,JA3 is a standard for creating SSL client fingerprints in an easy to produce and shareable way.,,,19,True,salesforce/ja3,,https://github.com/salesforce/ja3,BSD-3-Clause,2017-06-13 22:54:10,2023-10-20 20:55:26.000000,2023-10-20 20:55:26,151.0,,272.0,98.0,42.0,28.0,24.0,2483.0,,,,,,26.0,,,1985.0,3.0,,,,,,,pyja3,https://pypi.org/project/pyja3,1985.0,,,,,,,,
86,ladon,https://github.com/ory/ladon,authorization,A SDK for access control policies: authorization for the microservice and IoT age. Inspired by AWS IAM policies...,,['ory'],19,True,ory/ladon,,https://github.com/ory/ladon,Apache-2.0,2015-10-16 15:21:28,2024-03-06 13:35:30.000000,2024-03-05 10:04:59,150.0,1.0,222.0,63.0,105.0,2.0,56.0,2327.0,2024-03-06 13:35:30,1.3.0,41.0,,,51.0,,,,3.0,,,,,,,,,,,,,,,,,
87,ion,https://github.com/decentralized-identity/ion,ssi-infra,The Identity Overlay Network (ION) is a DID Method implementation using the Sidetree protocol atop Bitcoin.,,,18,True,decentralized-identity/ion,,https://github.com/decentralized-identity/ion,Apache-2.0,2019-01-25 00:34:40,2023-08-25 15:24:32.000000,2023-08-25 15:23:54,215.0,,158.0,88.0,184.0,71.0,69.0,1226.0,2022-06-09 01:42:53,1.0.4,17.0,,,32.0,,,,2.0,,,,,,,,,,,,,,,,,
88,vc-data-model,https://github.com/w3c/vc-data-model,credentials,W3C Verifiable Credentials Working Group VC Data Model and Representations specification.,,['w3c'],18,True,w3c/vc-data-model,,https://github.com/w3c/vc-data-model,W3C,2016-11-15 20:14:42,2024-03-14 15:39:12.000000,2024-03-13 16:56:15,1945.0,166.0,85.0,76.0,763.0,11.0,663.0,270.0,,,,,,67.0,,,,1.0,,,,,,,,,,,,,,,,,
89,spruceid-ssi,https://github.com/spruceid/ssi,ssi-sdks,Core library for decentralized identity.,,,18,True,spruceid/ssi,,https://github.com/spruceid/ssi,Apache-2.0,2020-08-04 14:40:34,2024-03-14 00:17:13.000000,2023-11-01 15:51:52,531.0,,53.0,30.0,359.0,73.0,103.0,172.0,,,,121.0,121.0,23.0,,,,2.0,,,,,,,,,,,,,,,,,
90,waltid-ssikit,https://github.com/walt-id/waltid-ssikit,ssi-sdks,All-In-One SSI infrastructure toolkit.,,,18,False,walt-id/waltid-ssikit,,https://github.com/walt-id/waltid-ssikit,Apache-2.0,2021-08-04 08:19:14,2024-02-21 17:00:50.000000,2024-02-21 17:00:30,1533.0,2.0,33.0,7.0,196.0,2.0,164.0,97.0,2023-12-13 10:55:46,1.2312131048.0,98.0,,,16.0,,,431.0,2.0,62.0,waltid/ssikit,https://hub.docker.com/r/waltid/ssikit,2023-12-13 10:55:45.426370,,13327.0,,,,,-2.0,,,,,,
91,polygon-issuer,https://github.com/0xPolygonID/issuer-node,ssi-agents,Polygon ID Self-Hosted Issuer Node.,,,18,False,0xPolygonID/issuer-node,,https://github.com/0xPolygonID/issuer-node,Apache-2.0,2022-12-20 15:29:39,2024-03-12 16:19:43.000000,2024-01-30 17:27:52,1473.0,95.0,61.0,10.0,510.0,4.0,112.0,74.0,2024-01-30 17:29:42,2.4.1,15.0,,,16.0,,,,2.0,,,,,,,,,,,,,,,,,
92,sphereon-ssi,https://github.com/Sphereon-Opensource/SSI-SDK,ssi-sdks,Self Sovereign Identity SDK.,,,18,False,sphereon-opensource/ssi-sdk,,https://github.com/Sphereon-Opensource/SSI-SDK,Apache-2.0,2021-11-22 08:30:41,2024-03-14 01:11:58.000000,2024-03-14 01:11:06,1688.0,211.0,11.0,10.0,153.0,8.0,9.0,50.0,2024-03-02 22:04:04,0.19.0,32.0,3.0,3.0,15.0,,,,2.0,,,,,,,,,,,,,,,,,
93,solid-project,https://github.com/solid/solid,protocols,Solid - Re-decentralizing the web (project directory).,,['solid'],17,False,solid/solid,,https://github.com/solid/solid,MIT,2015-11-24 05:45:27,2022-08-24 14:54:37.000000,2022-05-27 15:42:07,132.0,,372.0,558.0,56.0,125.0,88.0,8173.0,,,,,,22.0,,,,2.0,,,,,,,,,,,,,,,,,
94,spiffe,https://github.com/spiffe/spiffe,machine,The SPIFFE Project.,,"['cncf', 'linux-foundation']",17,True,spiffe/spiffe,,https://github.com/spiffe/spiffe,Apache-2.0,2017-08-07 20:45:21,2024-03-12 16:13:32.000000,2024-03-12 16:13:31,543.0,6.0,149.0,83.0,213.0,19.0,42.0,1376.0,,,,,,57.0,,,,3.0,,,,,,,,,,,,,,,,,
95,solid-specification,https://github.com/solid/specification,protocols,Solid Technical Reports.,,['solid'],17,True,solid/specification,,https://github.com/solid/specification,MIT,2019-05-14 21:20:03,2024-03-14 16:18:59.000000,2024-03-14 16:18:58,1023.0,47.0,38.0,51.0,227.0,179.0,148.0,453.0,2021-12-21 13:00:06,protocol-v0.9.0,1.0,,,23.0,,,,2.0,,,,,,,,,,,,,,,,,
96,barbican,https://github.com/openstack/barbican,pki,"Barbican is a ReST API designed for the secure storage, provisioning and management of secrets, including in OpenStack..",,['openstack'],17,True,openstack/barbican,,https://github.com/openstack/barbican,Apache-2.0,2014-05-23 22:15:27,2024-03-08 16:30:32.000000,2024-03-08 16:18:59,3630.0,14.0,68.0,27.0,5.0,,,227.0,,,,,,298.0,,,,3.0,,,,,,,,,,,,,,,,,
97,aries-mobile-agent-react-native,https://github.com/openwallet-foundation/bifold-wallet,ssi-agents,Aries Mobile Agent React Native - Part of the Aries Bifold effort to provide SSI capabilities in a production ready app.,,['hyperledger'],17,True,hyperledger/aries-mobile-agent-react-native,,https://github.com/openwallet-foundation/bifold-wallet,Apache-2.0,2020-11-06 19:58:19,2024-03-13 19:07:11.000000,2024-03-13 19:04:41,1672.0,49.0,113.0,19.0,856.0,64.0,185.0,127.0,,,,,,42.0,,,,2.0,,,,,,,,,,,,,,,,openwallet-foundation/bifold-wallet,
98,sphereon-siop-oid4vp,https://github.com/Sphereon-Opensource/SIOP-OID4VP,protocols-sdks,Self Issued OpenID Provider v2 (SIOP) with optional OpenID for Verifiable Presentations (OpenID4VP).,,,17,False,sphereon-opensource/siop-oid4vp,,https://github.com/Sphereon-Opensource/SIOP-OID4VP,Apache-2.0,2021-09-08 22:32:38,2024-03-06 16:45:55.000000,2024-03-04 20:24:43,651.0,42.0,21.0,8.0,52.0,8.0,15.0,74.0,2024-02-29 22:50:37,0.6.0,14.0,49.0,49.0,12.0,,,0.0,1.0,27.0,,,,,,,,,,4.0,,,,,,
99,polygon-js-sdk,https://github.com/0xPolygonID/js-sdk,ssi-sdks,SDK to work with Polygon ID.,,,17,False,0xPolygonID/js-sdk,,https://github.com/0xPolygonID/js-sdk,,2022-11-08 12:11:09,2024-03-14 10:06:27.000000,2024-03-11 09:29:07,415.0,24.0,22.0,4.0,157.0,8.0,28.0,46.0,2024-03-11 09:29:54,1.8.3,42.0,144.0,144.0,15.0,,,,3.0,,,,,,,,,,,,,,,,,
100,talao-altme,https://github.com/TalaoDAO/AltMe,ssi-agents,SSI + crypto wallet .Self Sovereign Identity wallet with cryptos and NFT features. EBSI conformant.,,,17,False,talaodao/altme,,https://github.com/TalaoDAO/AltMe,Apache-2.0,2021-12-27 07:56:07,2024-03-14 12:40:54.000000,2024-03-11 13:08:07,3905.0,331.0,13.0,7.0,474.0,43.0,1988.0,35.0,,,,,,5.0,,,,2.0,,,,,,,,,,,,,,,,,
101,sphereon-pex,https://github.com/Sphereon-Opensource/PEX,protocols-sdks,A Typescript implementation of the DIF Presentation Exchange specification.,,,17,False,sphereon-opensource/pex,,https://github.com/Sphereon-Opensource/PEX,Apache-2.0,2021-04-12 14:54:14,2024-03-13 05:21:29.000000,2024-02-29 22:35:20,989.0,49.0,12.0,7.0,113.0,5.0,26.0,31.0,2024-02-29 22:36:22,3.3.0,29.0,17.0,17.0,17.0,,,1.0,1.0,61.0,,,,,,,,,,,,,,,,
102,did-core,https://github.com/w3c/did-core,credentials,W3C Decentralized Identifier Specification v1.0.,,['w3c'],16,True,w3c/did-core,,https://github.com/w3c/did-core,W3C,2019-09-10 07:46:26,2024-03-05 17:17:43.000000,2023-04-11 23:37:45,1309.0,,89.0,73.0,489.0,34.0,323.0,389.0,,,,,,62.0,,,,2.0,,,,,,,,,,,,,,,,,
103,spruceid-didkit,https://www.spruceid.dev/didkit/didkit,ssi-sdks,A cross-platform toolkit for decentralized identity.,,,16,True,spruceid/didkit,,https://github.com/spruceid/didkit,Apache-2.0,2020-10-06 21:52:28,2024-02-05 19:11:45.000000,2024-02-05 09:10:04,309.0,5.0,66.0,33.0,251.0,46.0,73.0,246.0,,,,6.0,6.0,22.0,,,,3.0,,ghcr.io/spruceid/didkit-http,https://hub.docker.com/r/ghcr.io/spruceid/didkit-http,,,,,,,,,,,,,,
104,tbd-ssi-sdk,https://github.com/TBD54566975/ssi-sdk,ssi-sdks,self sovereign identity sdk.,,['web5'],16,True,tbd54566975/ssi-sdk,,https://github.com/TBD54566975/ssi-sdk,Apache-2.0,2022-02-02 20:20:10,2024-03-08 15:10:51.000000,2024-01-10 15:16:53,326.0,6.0,54.0,12.0,356.0,48.0,107.0,195.0,,,4.0,41.0,41.0,18.0,,,,3.0,,,,,,,,,,,,,,,,,
105,waltid-walletkit,https://github.com/walt-id/waltid-walletkit,ssi-sdks,Toolkit for SSI and NFT/SBT wallets.,,,16,False,walt-id/waltid-walletkit,,https://github.com/walt-id/waltid-walletkit,Apache-2.0,2021-09-24 15:14:51,2023-12-13 10:51:53.446549,2023-12-13 10:46:56,1375.0,,24.0,4.0,111.0,,46.0,33.0,2023-12-13 10:51:55,1.2312131047.0,48.0,,,12.0,,,137.0,3.0,,waltid/walletkit,https://hub.docker.com/r/waltid/walletkit,2023-12-13 10:51:53.446549,,4122.0,,,,,,,,,,,
106,presentation-exchange,https://github.com/decentralized-identity/presentation-exchange,protocols,Specification that codifies an inter-related pair of data formats for defining proof presentations (Presentation..,,['dif'],15,False,decentralized-identity/presentation-exchange,,https://github.com/decentralized-identity/presentation-exchange,Apache-2.0,2020-01-07 23:10:12,2024-03-14 17:55:13.000000,2024-03-14 17:54:50,627.0,6.0,33.0,31.0,234.0,53.0,177.0,76.0,,,,,,37.0,,,,3.0,,,,,,,,,,,,,,,,,
